STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,GEOID,GEOIDbg,total_pop,total_occupied,total_occupied_renter,total_occupied_owner,total_vacant,seasonal_vacancy,total_dwellings,income_median,moveinyear_all_trimean,moveinyear_owner_trimean,moveinyear_renter_trimean,moveinyear_pct_new_all,moveinyear_pct_new_owner,moveinyear_pct_new_total_owner,moveinyear_pct_new_renter,moveinyear_pct_new_total_renter,rent_lower_quartile,rent_median,rent_upper_quartile,rent_trimean,rentpctincome_median,seasonal_vacancy_pct
36,021,000401,2,Block Group 2; Census Tract 4.01; Columbia County; New York,36021000401,360210004012,742,288,66,222,91,0,379,88716.0,2008.0,2004.0,2014.0,0.0,0.0,0.0,0.0,0.0,713.0,767.0,1542.0,947.25,0.21731591697023428,0.0
36,021,000402,1,Block Group 1; Census Tract 4.02; Columbia County; New York,36021000402,360210004021,2177,676,59,617,240,127,916,109028.0,2006.0,2006.0,2012.0,0.016272189349112426,0.017828200972447326,0.016272189349112426,0.0,0.0,421.0,1515.0,1754.0,1301.25,0.3018330669030483,0.13864628820960698
36,021,000402,2,Block Group 2; Census Tract 4.02; Columbia County; New York,36021000402,360210004022,500,236,117,119,122,64,358,58516.0,2012.0,2002.0,2016.0,0.19491525423728814,0.0,0.0,0.39316239316239315,0.19491525423728814,775.0,800.0,863.0,809.5,0.33414445646195684,0.1787709497206704
36,021,000402,3,Block Group 3; Census Tract 4.02; Columbia County; New York,36021000402,360210004023,1708,637,150,487,80,8,717,94632.0,2006.0,2003.0,2014.0,0.0423861852433281,0.02053388090349076,0.015698587127158554,0.11333333333333333,0.026687598116169546,563.0,640.0,988.0,707.75,0.3116674290686647,0.011157601115760111
36,021,000402,4,Block Group 4; Census Tract 4.02; Columbia County; New York,36021000402,360210004024,1538,728,239,489,22,0,750,87232.0,1998.0,1992.0,2005.0,0.03021978021978022,0.0,0.0,0.09205020920502092,0.03021978021978022,1035.0,1113.0,1191.0,1113.0,0.24136650898438589,0.0
36,021,000500,1,Block Group 1; Census Tract 5; Columbia County; New York,36021000500,360210005001,2195,844,142,702,87,32,931,73286.0,2004.0,2000.0,2013.0,0.002369668246445498,0.002849002849002849,0.002369668246445498,0.0,0.0,940.0,1082.0,1227.0,1082.75,0.27565985296651746,0.034371643394199784
36,021,000600,1,Block Group 1; Census Tract 6; Columbia County; New York,36021000600,360210006001,843,376,32,344,63,30,439,104079.0,1994.0,1991.0,2017.0,0.0,0.0,0.0,0.0,0.0,588.0,942.0,1531.0,1000.75,0.34828760004306897,0.0683371298405467
36,021,000600,2,Block Group 2; Census Tract 6; Columbia County; New York,36021000600,360210006002,1428,486,123,363,89,14,575,84583.0,2008.0,2002.0,2015.0,0.0,0.0,0.0,0.0,0.0,1011.0,1097.0,1183.0,1097.0,0.16087970961363673,0.02434782608695652
36,021,000600,3,Block Group 3; Census Tract 6; Columbia County; New York,36021000600,360210006003,407,179,92,87,66,0,245,59792.0,2006.0,1998.0,2012.0,0.0,0.0,0.0,0.0,0.0,721.0,748.0,958.0,793.75,0.2740584216586207,0.0
36,021,000700,1,Block Group 1; Census Tract 7; Columbia County; New York,36021000700,360210007001,1223,414,56,358,102,72,516,83333.0,2006.0,2007.0,2004.0,0.13768115942028986,0.15921787709497207,0.13768115942028986,0.0,0.0,893.0,1545.0,1772.0,1438.75,,0.13953488372093023
