STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,GEOID,GEOIDbg,total_pop,total_occupied,total_occupied_renter,total_occupied_owner,total_vacant,seasonal_vacancy,total_dwellings,income_median,moveinyear_all_trimean,moveinyear_owner_trimean,moveinyear_renter_trimean,moveinyear_pct_new_all,moveinyear_pct_new_owner,moveinyear_pct_new_total_owner,moveinyear_pct_new_renter,moveinyear_pct_new_total_renter,rent_lower_quartile,rent_median,rent_upper_quartile,rent_trimean,rentpctincome_median,seasonal_vacancy_pct,gent_index_log,gent_index_pct
36,021,000200,1,Block Group 1; Census Tract 2; Columbia County; New York,36021000200,360210002001,-90.0,20.0,40.0,-20.0,20.0,47.0,40.0,42125.0,2.0,4.0,-9.0,-0.06514657980456026,-0.06227106227106227,-0.05537459283387622,-0.08823529411764706,-0.009771986970684038,398.0,223.0,-157.0,171.75,0.030918128341440643,0.06456819149659498,11.507093793150789,0.7533987479649394
36,021,000200,2,Block Group 2; Census Tract 2; Columbia County; New York,36021000200,360210002002,0.0,78.0,-11.0,89.0,-88.0,-83.0,-10.0,18985.0,0.0,-1.0,8.0,-0.03355408388520971,-0.05467466783756972,-0.04450331125827815,0.12424242424242425,0.010949227373068431,201.25,54.0,385.25,173.625,-0.08413409716534997,-0.13009430894308946,19.56308717361719,0.05455853898290999
36,021,000300,1,Block Group 1; Census Tract 3; Columbia County; New York,36021000300,360210003001,64.6506441409,-3.431135804099995,-11.908595517899997,8.477459713799988,-13.311807220399999,6.098610615200002,-16.742943024499993,46770.5,1.0,0.0,2.0,-0.06517484409818465,-0.04887218045112782,-0.03686923766715617,-0.11428212220266534,-0.02830560643102847,163.0,626.0,917.25,583.0625,-0.0012315885245695046,0.015889355664573654,24.513899966012858,1.7011388557826181
36,021,000300,2,Block Group 2; Census Tract 3; Columbia County; New York,36021000300,360210003002,251.84061697599998,62.6405797164,-40.3565217367,102.99710145309999,135.586206896,43.8275862065,198.22678661240002,80735.0,4.0,8.0,,-0.005294686172740159,0.0,0.0,,,,,,,,0.004710315899411316,13.378369006995557,0.8091440786672435
36,021,000300,3,Block Group 3; Census Tract 3; Columbia County; New York,36021000300,360210003003,-246.84061697599998,-3.640579716399998,-99.6434782633,96.00289854690001,12.413793104000007,3.1724137934999987,8.77321338759998,43452.5,-5.0,-1.0,2.0,-0.09389592004497294,0.0,0.0,-0.24031007751937983,-0.09389592004497294,611.5,391.0,419.5,453.25,-0.11518796793699362,0.004216916561255973,19.650204677799017,0.6078820998518464
36,021,000300,4,Block Group 4; Census Tract 3; Columbia County; New York,36021000300,360210003004,-15.099678424199965,0.11246942859997944,-18.237163816600003,18.349633245199982,-12.262569833399994,-13.078212290800003,-12.150100404800014,16175.0,3.0,4.0,0.0,-0.1329684158063106,-0.1149874843554443,-0.09882261574408871,-0.2444594823174623,-0.0341458000622219,184.0,617.0,702.0,530.0,-0.21873267191755374,-0.0238717125756467,18.870298458008357,0.3580057735337917
36,021,000300,5,Block Group 5; Census Tract 3; Columbia County; New York,36021000300,360210003005,68.44903428329997,-3.6813336244999846,19.1457593345,-22.827092959000026,9.574377053800006,56.9796016756,5.893043429300008,21201.5,11.0,10.0,8.0,-0.10331436548405527,-0.03749069067252316,-0.02538154084349799,-0.24001207710186628,-0.07793282464055729,122.0,121.0,-28.0,84.0,-0.1915715428908179,0.11578705579718876,20.427164594401724,-0.10665386519583639
36,021,000401,1,Block Group 1; Census Tract 4.01; Columbia County; New York,36021000401,360210004011,-94.65110360819995,-11.076545653600078,-14.966633958399996,3.890088304799974,-43.558746742400004,-36.8616188024,-54.63529239600007,-5685.5,4.0,4.0,4.0,-0.07285637137004429,-0.038876889848812095,-0.03162380625728296,-0.21875,-0.04123256511276133,49.0,86.0,169.0,97.5,0.009429531791449175,-0.03885848501053645,-5.957142087350405,-0.037648614498790124
36,021,000401,2,Block Group 2; Census Tract 4.01; Columbia County; New York,36021000401,360210004012,-73.34889639179994,-49.92345434639998,7.966633958400003,-57.89008830480003,37.5587467424,-30.1383811976,-12.364707603999989,4604.0,8.0,7.0,2.0,-0.06263682860883223,-0.038876889848812095,-0.033531293281539316,-0.21874999999999997,-0.029105535327292917,22.5,-108.0,215.5,5.5,-0.07038468138003501,-0.07700842874185615,15.432265825224206,-0.3192148164577972
36,021,000402,1,Block Group 1; Census Tract 4.02; Columbia County; New York,36021000402,360210004021,310.8960682664999,11.51399190799998,-24.0748286412,35.58882054920002,66.20712655499997,109.9859556597,77.72111846299993,38703.0,8.0,8.0,4.0,-0.042090505446156515,0.00910533289136507,0.008626961311449006,-0.40963812844567,-0.050717466757605516,-30.5,882.0,983.0,679.125,0.15668004178609066,0.11834988719673112,18.696663999577147,2.803634562593342
